"defectuosos" "fabrica"
"1" 3 1
"2" 3 1
"3" 3 1
"4" 1 0
"5" 4 1
"6" 0 0
"7" 3 1
"8" 3 1
"9" 2 1
"10" 3 1
"11" 2 1
"12" 4 1
"13" 4 1
"14" 4 1
"15" 2 1
"16" 3 1
"17" 3 1
"18" 4 1
"19" 3 1
"20" 4 1
"21" 4 1
"22" 3 1
"23" 1 0
"24" 2 1
"25" 2 0
"26" 2 1
"27" 4 1
"28" 0 0
"29" 4 1
"30" 3 1
"31" 3 1
"32" 3 1
"33" 3 1
"34" 2 1
"35" 4 1
"36" 4 1
"37" 3 1
"38" 2 0
"39" 4 1
"40" 3 0
"41" 0 0
"42" 2 1
"43" 2 0
"44" 1 0
"45" 4 1
"46" 3 0
"47" 4 1
"48" 4 1
"49" 4 1
"50" 4 1
"51" 2 1
"52" 3 0
"53" 1 0
"54" 0 0
"55" 4 1
"56" 0 0
"57" 4 1
"58" 4 1
"59" 3 0
"60" 2 1
"61" 1 0
"62" 3 1
"63" 2 1
"64" 3 1
"65" 3 1
"66" 1 0
"67" 3 1
"68" 2 0
"69" 2 1
"70" 1 0
"71" 2 1
"72" 4 1
"73" 1 1
"74" 1 1
"75" 2 1
"76" 4 1
"77" 3 1
"78" 2 1
"79" 2 1
"80" 2 1
"81" 3 1
"82" 3 1
"83" 2 1
"84" 4 1
"85" 4 1
"86" 4 1
"87" 3 1
"88" 4 1
"89" 4 1
"90" 2 0
"91" 4 1
"92" 2 0
"93" 2 1
"94" 1 1
"95" 3 1
"96" 2 1
"97" 2 0
"98" 4 1
"99" 2 1
"100" 2 1
"101" 2 1
"102" 2 0
"103" 3 1
"104" 3 1
"105" 3 1
"106" 3 1
"107" 3 1
"108" 4 1
"109" 4 1
"110" 2 1
"111" 3 1
"112" 0 0
"113" 1 1
"114" 0 0
"115" 3 1
"116" 3 1
"117" 2 1
"118" 1 1
"119" 4 1
"120" 3 1
"121" 4 1
"122" 1 0
"123" 4 1
"124" 4 1
"125" 1 1
"126" 2 1
"127" 3 1
"128" 1 0
"129" 3 1
"130" 2 1
"131" 3 1
"132" 4 1
"133" 3 1
"134" 1 0
"135" 4 1
"136" 2 0
"137" 4 1
"138" 4 1
"139" 2 1
"140" 4 1
"141" 3 1
"142" 0 0
"143" 2 1
"144" 3 1
"145" 3 1
"146" 4 1
"147" 3 1
"148" 4 1
"149" 3 1
"150" 1 0
"151" 4 1
"152" 3 1
"153" 1 0
"154" 1 0
"155" 2 0
"156" 0 0
"157" 4 1
"158" 3 1
"159" 3 1
"160" 3 1
"161" 4 1
"162" 2 0
"163" 3 1
"164" 2 1
"165" 3 1
"166" 1 0
"167" 0 0
"168" 0 0
"169" 2 0
"170" 3 1
"171" 4 1
"172" 4 1
"173" 2 1
"174" 2 1
"175" 1 0
"176" 2 1
"177" 4 1
"178" 0 1
"179" 1 0
"180" 1 1
"181" 3 1
"182" 3 1
"183" 3 1
"184" 4 1
"185" 0 0
"186" 1 0
"187" 0 0
"188" 2 0
"189" 4 1
"190" 0 0
"191" 1 1
"192" 3 1
"193" 2 1
"194" 0 1
"195" 3 1
"196" 2 1
"197" 1 0
"198" 1 0
"199" 4 1
"200" 2 0
"201" 3 1
"202" 4 1
"203" 3 1
"204" 4 1
"205" 2 1
"206" 3 1
"207" 4 1
"208" 4 1
"209" 4 1
"210" 4 1
"211" 4 1
"212" 4 1
"213" 2 0
"214" 3 1
"215" 3 1
"216" 4 1
"217" 3 1
"218" 4 1
"219" 4 1
"220" 4 1
"221" 3 1
"222" 3 0
"223" 0 0
"224" 3 1
"225" 4 1
"226" 4 1
"227" 3 1
"228" 3 1
"229" 2 1
"230" 3 1
"231" 0 0
"232" 3 1
"233" 2 1
"234" 0 0
"235" 3 1
"236" 3 1
"237" 4 1
"238" 3 1
"239" 1 1
"240" 0 0
"241" 2 1
"242" 3 1
"243" 4 1
"244" 3 1
"245" 4 1
"246" 0 0
"247" 4 1
"248" 2 1
"249" 4 1
"250" 0 0
"251" 3 0
"252" 3 1
"253" 2 1
"254" 2 1
"255" 1 0
"256" 4 1
"257" 0 0
"258" 1 0
"259" 4 1
"260" 4 1
"261" 4 1
"262" 0 0
"263" 3 1
"264" 3 1
"265" 0 0
"266" 4 1
"267" 0 0
"268" 1 0
"269" 2 1
"270" 3 1
"271" 3 1
"272" 0 0
"273" 1 0
"274" 2 1
"275" 3 1
"276" 3 0
"277" 1 1
"278" 2 1
"279" 1 1
"280" 3 1
"281" 2 1
"282" 2 1
"283" 2 0
"284" 2 1
"285" 4 1
"286" 2 0
"287" 2 0
"288" 1 0
"289" 3 1
"290" 4 1
"291" 4 1
"292" 1 0
"293" 3 1
"294" 0 0
"295" 4 1
"296" 0 0
"297" 4 1
"298" 3 1
"299" 1 0
"300" 4 1
"301" 2 1
"302" 0 0
"303" 2 1
"304" 2 1
"305" 1 0
"306" 2 1
"307" 3 0
"308" 3 1
"309" 3 1
"310" 4 1
"311" 2 1
"312" 3 1
"313" 2 1
"314" 3 1
"315" 4 1
"316" 4 1
"317" 0 0
"318" 4 1
"319" 0 0
"320" 1 0
"321" 2 1
"322" 0 0
"323" 2 1
"324" 1 0
"325" 1 0
"326" 3 1
"327" 3 1
"328" 1 1
"329" 3 1
"330" 4 1
"331" 4 1
"332" 3 1
"333" 2 1
"334" 2 0
"335" 2 1
"336" 2 1
"337" 1 0
"338" 2 1
"339" 3 1
"340" 0 0
"341" 1 0
"342" 1 0
"343" 2 1
"344" 3 1
"345" 4 1
"346" 2 1
"347" 4 1
"348" 3 1
"349" 2 1
"350" 1 0
"351" 0 0
"352" 2 1
"353" 3 1
"354" 2 1
"355" 2 0
"356" 3 1
"357" 4 1
"358" 2 1
"359" 2 1
"360" 1 0
"361" 3 1
"362" 3 1
"363" 4 1
"364" 3 1
"365" 4 1
"366" 0 0
"367" 3 1
"368" 4 1
"369" 4 1
"370" 3 1
"371" 3 1
"372" 0 0
"373" 4 1
"374" 4 1
"375" 2 0
"376" 1 0
"377" 4 1
"378" 4 1
"379" 2 0
"380" 4 1
"381" 4 1
"382" 4 1
"383" 0 0
"384" 3 1
"385" 3 1
"386" 0 0
"387" 2 1
"388" 4 1
"389" 3 1
"390" 0 0
"391" 3 1
"392" 2 1
"393" 3 1
"394" 2 1
"395" 3 1
"396" 3 1
"397" 3 1
"398" 0 0
"399" 3 1
"400" 3 1
"401" 4 1
"402" 4 1
"403" 4 1
"404" 4 1
"405" 1 1
"406" 3 1
"407" 3 1
"408" 3 1
"409" 1 1
"410" 3 1
"411" 1 1
"412" 3 1
"413" 2 1
"414" 1 0
"415" 3 1
"416" 4 1
"417" 3 1
"418" 4 1
"419" 3 1
"420" 3 1
"421" 4 1
"422" 0 0
"423" 3 1
"424" 1 1
"425" 0 0
"426" 2 1
"427" 4 1
"428" 3 1
"429" 4 1
"430" 4 1
"431" 2 1
"432" 0 0
"433" 3 1
"434" 3 1
"435" 0 0
"436" 3 1
"437" 3 1
"438" 1 0
"439" 3 1
"440" 3 1
"441" 1 1
"442" 1 0
"443" 1 0
"444" 0 0
"445" 3 1
"446" 3 1
"447" 3 0
"448" 2 1
"449" 2 0
"450" 3 1
"451" 3 1
"452" 2 1
"453" 4 1
